Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
Коваленко С.Н., Анисимова С.А.;Структурная эволюция верхнепротерозойских-нижнепалеозойских осадочных толщ северной части Байкало-Патомского нагорья;2010;;;Вестник кафедры географии ВСГАО;статья;ВС;;;тектоника, литология;Коваленко С.Н., Анисимова С.А. Структурная эволюция верхнепротерозойских-нижнепалеозойских осадочных толщ северной части Байкало-Патомского нагорья // Вестник кафедры географии ВСГАО, № 1. 2010.  с. 72-92.
;Протерозой;;;;;часть книги;;;;;Протерозой // Автор, издательство, год?
Коновальцева Е.С.;Вторичные процессы в породах-коллекторах продуктивных отложений Ярактинского месторождения;2010;;Нефтегазовая геология. Теория и практика;;статья;ВС;венд;;литология, нефтегазоносность;Коновальцева Е.С. Вторичные процессы в породах-коллекторах продуктивных отложений Ярактинского месторождения // Нефтегазовая геология. Теория и практика. 2010, №. 5.
Куценко Э.Я.;Вертикальное сейсмическое профилирование;2005;;Краснодар: КубГУ, ГФ;;учебное пособие;;;;геология, сейсморазведка;"Куценко Э.Я. Вертикальное сейсмическое профилирование / Рабочая прграмма для студентов 4 курса специальности ""020302-Геофизика""// Краснодар: КубГУ, 2005."
Марковский М.И.;Палеогеографические основы поисков нефти и газа ;1973;;"М.:Издательство ""НЕДРА""";;учебное пособие;;;;палеогеография;" Марковский М.М. Палеогеографические основы поисков нефти и газа // М.: Издательство ""НЕДРА"", 1973, с.304"
Меркулов В.П. Посысоев А.А.;Оценка пластовых свойств и оперативный анализ каротажных диаграмм;2004;;Томск: Томский политехнический университет ;;учебное пособие;;;;геология, ГИС;Меркулов В.П. Посысоев А.А. Оценка пластовых свойств и оперативный анализ каротажных диаграмм /  Учебное пособие //  Томск: Томский политехнический университет, 2004, 113 с.
Митасов В.И., Кондратьев В.А., Кушмар И.А., Семенов В.П.;Петрофизическое и сейсмогеологическое моделирование как основа успешности прогноза коллекторов в карбонатных отложениях Восточной Сибири;;;ВНИГРИ, Иркутскгеофизика;;тезисы;ВС;;;нефтегазоносность, сейсморазведка;Митасов В.И., Кондратьев В.А., Кушмар И.А., Семенов В.П. Петрофизическоие и сейсмогеологическое моделирование как основа успешности прогноза коллекторов в карбонатных отложениях Восточной Сибири // тезисы
Мокшанцев К.Б., Горнштейн Д.К., Гусев Г.С., Деньгин Э.В., Штех Г.И.;Тектоническое строение Якутской СССР;1964;;"М.: Издательство "" НАУКА""";;учебное пособие;Восточная Сибирь;;архей венд кембрий ;тектоника;"Мокшанцев К.Б., Горнштейн, Г.С. Гусев, Э. В. Деньгин, Г.И. Штех. Тектоническое строение Якутской СССР. М.: Издательство ""НАУКА"", 1964."
Мотузка А.Н.;Основы палеогеографии (Курс лекций);2003;; Минск: Белорусский государственный университет ;;учебное пособие;;;;палеогеография;Мотузка А.Н. Основы палеогеографии / (Курс лекций) // Минск: Белорусский государственный университет, 2003.
Муромцев В.С.;Электрометрическая геология песчаных тел-литологических ловушек нефти и газа ;1984;;Л.:Недра;;учебное пособие;;;;литология стратиграфия;Муромцев В.С. Электрометрическая геология песчаных тел-литологических ловушек нефти и газа // Л.: Недра, 1984. 260 с.
Наливкин В.Д.;Принципы и категории нефтегазогеологического районирования;;;;;учебное пособие;;;;нефтегазоносность; Наливкин В.Д. Принципы и категории нефтегазогеологического районирования. Издательство, год? С. 51-62.
Оливье Дюбрул;Использование геостатистики для включения в геологическую модель сейсмических данных;2002;;EAGE;;монография;;;;сейсморазведка, геология;Оливье Дюбрул Использование геостатистики для включения в геологическую модель сейсмических данных // EAGE, 2002.
Полянин В.С.;Региональная геология Часть1. Древние платформы;2009;;Казань: Казанский государственнй университет;;учебное пособие;;;;;Полянин В.С.Региональная геология. Учебное пособие по курсу «Региональная геология» («Геология России»). Часть 1. Древние платформы //  Казань: Казанский государственный университет, 2009, с. 83
