Автор;Название;Год;страницы;Издательство;;Тип;Регион;Ключевые;;направление;Полное название
 Кокарев П.Н.,  Ершов А.В.;ПРОГНОЗ ПРОНИЦАЕМОСТИ ПО ДАННЫМ ГИС ДЛЯ ГАЗОНОСНЫХ ПЛАСТОВ НЕОКОМА ЯМБУРГСКОГО МЕСТОРОЖДЕНИЯ;2007;;Тюмень;;доклад;Западная Сибирь, Заполярье;;;ГИС; Кокарев П.Н.,  Ершов А.В. ПРОГНОЗ ПРОНИЦАЕМОСТИ ПО ДАННЫМ ГИС ДЛЯ ГАЗОНОСНЫХ ПЛАСТОВ НЕОКОМА ЯМБУРГСКОГО МЕСТОРОЖДЕНИЯ
 Глебов А.С.,  Цуканова Е.Ф.,  Суходоев И.С.;ЭФФЕКТИВНОСТЬ МЕТОДОВ ГИС В СКВАЖИНАХ ПРОБУРЕННЫХ НА ПОЛИМЕРНЫХ РАСТВОРАХ;2007;;Тюмень;;доклад;;;;ГИС; Глебов А.С.,  Цуканова Е.Ф.,  Суходоев И.С. ЭФФЕКТИВНОСТЬ МЕТОДОВ ГИС В СКВАЖИНАХ ПРОБУРЕННЫХ НА ПОЛИМЕРНЫХ РАСТВОРАХ
 Мельник И.А.;СПОСОБ ОПРЕДЕЛЕНИЯ ОБУСЛОВЛЕННОГО ПАРАМЕТРА УЭС В НИЗКООМНЫХ КОЛЛЕКТОРАХ-ПЕСЧАНИКАХ;2007;;Тюмень;;доклад;;;;ГИС; Мельник И.А. СПОСОБ ОПРЕДЕЛЕНИЯ ОБУСЛОВЛЕННОГО ПАРАМЕТРА УЭС В НИЗКООМНЫХ КОЛЛЕКТОРАХ-ПЕСЧАНИКАХ
 МИЛЛЕР А.В.,  СТЕПАНОВ С.В.,  СУДНИЧНИКОВ А.В.,  СУДНИЧНИКОВ В.Г.;РАЗВИТИЕ АППАРАТУРЫ И МЕТОДИКИ ЭЛЕКТРОМАГНИТНОЙ ДЕФЕКТОСКОПИИ СКВАЖИН;2007;;Тюмень;;доклад;;;;ГИС; МИЛЛЕР А.В.,  СТЕПАНОВ С.В.,  СУДНИЧНИКОВ А.В.,  СУДНИЧНИКОВ В.Г. РАЗВИТИЕ АППАРАТУРЫ И МЕТОДИКИ ЭЛЕКТРОМАГНИТНОЙ ДЕФЕКТОСКОПИИ СКВАЖИН
Огнев А.Н., Коротченко А.Г., Рыскаль О.Е., Гайнетдинов Р.Г.;ИСПОЛЬЗОВАНИЕ КОМПЛЕКСА ЯДЕРНО-ФИЗИЧЕСКИХ МЕТОДОВ ДЛЯ ОПРЕДЕЛЕНИЯ НЕФТЕНАСЫЩЕННОСТИ В УСЛОВИЯХ МАЛОИЗУЧЕННОГО РАЗРЕЗА;2007;;Тюмень;;доклад;Западная Сибирь;;;ГИС;Огнев А.Н., Коротченко А.Г., Рыскаль О.Е., Гайнетдинов Р.Г. ИСПОЛЬЗОВАНИЕ КОМПЛЕКСА ЯДЕРНО-ФИЗИЧЕСКИХ МЕТОДОВ ДЛЯ ОПРЕДЕЛЕНИЯ НЕФТЕНАСЫЩЕННОСТИ В УСЛОВИЯХ МАЛОИЗУЧЕННОГО РАЗРЕЗА
Астраханцев Ю.Г, Белоглазова Н.А., Глухих И.И.;ОЦЕНКА ЕСТЕСТВЕННОЙ НАМАГНИЧЕННОСТИ ПОРОД, ВСКРЫТЫХ СКВАЖИНОЙ;2007;;Тюмень;;доклад;;;;ГИС;Астраханцев Ю.Г, Белоглазова Н.А., Глухих И.И. ОЦЕНКА ЕСТЕСТВЕННОЙ НАМАГНИЧЕННОСТИ ПОРОД, ВСКРЫТЫХ СКВАЖИНОЙ
 Мальшаков А.В., Гильманова Н.В.;ВЕЙВЛЕТ-ПРЕОБРАЗОВАНИЕ И АНАЛИЗ ДАННЫХ КАРОТАЖА СКВАЖИН В ОТЛОЖЕНИЯХ РАЗНОГО ЛИТОЛОГИЧЕСКОГО И ФАЦИАЛЬНОГО СОСТАВА;2007;;Тюмень;;доклад;;;;ГИС; Мальшаков А.В., Гильманова Н.В. ВЕЙВЛЕТ-ПРЕОБРАЗОВАНИЕ И АНАЛИЗ ДАННЫХ КАРОТАЖА СКВАЖИН В ОТЛОЖЕНИЯХ РАЗНОГО ЛИТОЛОГИЧЕСКОГО И ФАЦИАЛЬНОГО СОСТАВА
Шикова Л.К., Моор Н.А.;ОЦЕНКА НЕФТЕНАСЫЩЕННОСТИ КАРБОНАТНЫХ КОЛЛЕКТОРОВ ПО ДАННЫМ ГИС МНОГОЛЕТНЕЙ ДАВНОСТИ;2007;;Тюмень;;доклад;;;;ГИС;Шикова Л.К., Моор Н.А. ОЦЕНКА НЕФТЕНАСЫЩЕННОСТИ КАРБОНАТНЫХ КОЛЛЕКТОРОВ ПО ДАННЫМ ГИС МНОГОЛЕТНЕЙ ДАВНОСТИ
Верховский А.М., Цимбалюк Ю.А.;ФИЗИЧЕСКОЕ МОДЕЛИРОВАНИЕ ВЛИЯНИЯ ВИДА ФЛЮИДОНАСЫЩЕНИЯ СЛОЯ ПЕСЧАНИКА НА ЕГО СЕЙСМИЧЕСКИЕ ОТКЛИКИ;2007;;Тюмень;;доклад;;;;моделирование;Верховский А.М., Цимбалюк Ю.А. ФИЗИЧЕСКОЕ МОДЕЛИРОВАНИЕ ВЛИЯНИЯ ВИДА ФЛЮИДОНАСЫЩЕНИЯ СЛОЯ ПЕСЧАНИКА НА ЕГО СЕЙСМИЧЕСКИЕ ОТКЛИКИ
Горшкалёв С.Б., Карстен В.В., Корсунов И.В.;УЧЁТ АНИЗОТРОПИИ ВЧР ПРИ ОБРАБОТКЕ МНОГОКОМПОНЕНТНЫХ ДАННЫХ В ВОСТОЧНОЙ СИБИРИ;2007;;Тюмень;;доклад;Восточная Сибирь;;;;Горшкалёв С.Б., Карстен В.В., Корсунов И.В. УЧЁТ АНИЗОТРОПИИ ВЧР ПРИ ОБРАБОТКЕ МНОГОКОМПОНЕНТНЫХ ДАННЫХ В ВОСТОЧНОЙ СИБИРИ
Деев К.С.;ПРОСТРАНСТВЕННО-ВРЕМЕННАЯ КОМПЕНСАЦИЯ АМПЛИТУДНО-ЧАСТОТНЫХ ХАРАКТЕРИСТИК СЕЙСМИЧЕСКОГО СИГНАЛА;2007;;Тюмень;;доклад;;;;;Деев К.С. ПРОСТРАНСТВЕННО-ВРЕМЕННАЯ КОМПЕНСАЦИЯ АМПЛИТУДНО-ЧАСТОТНЫХ ХАРАКТЕРИСТИК СЕЙСМИЧЕСКОГО СИГНАЛА
 Форгес Э, Менье Ж,  Юбан С.;Инновационная 4Д технология с низкой стоимостью: технология «SeisMovie» компании «CGGVeritas».;2007;;Тюмень;;доклад;;;;; Форгес Э, Менье Ж,  Юбан С. Инновационная 4Д технология с низкой стоимостью: технология «SeisMovie» компании «CGGVeritas».
 ЖЕЛЕЗНОВА А.П.,  КУЛЬКОВА А.А.;Сравнительная характеристика литолого-петрофизических параметров песчаных пластов Марковского и Среднеботуобинcкого месторождений;1981;;;Геология нефти и газа;статья;Восточная Сибирь;;;литология, нефтегазоносность; ЖЕЛЕЗНОВА А.П.,  КУЛЬКОВА А.А.Сравнительная характеристика литолого-петрофизических параметров песчаных пластов Марковского и Среднеботуобинcкого месторождений //  Геология нефти и газа, 1981, №3
Жуковская Е.А.,  Рощина Я.Н.,  Полумогина Е.Д.,  Шелыхаева М.Н., Шаминова М.И.;Состав и строение отложений ПРЕОБРАЖЕНСКОГО нефтегазоносного горизонта Савостьяновского нефтяного месторождения (Восточная Сибирь).;;;;Нефтяное хозяйство;статья;Восточная Сибирь;;;литология, нефтегазоносность;Жуковская Е.А.,  Рощина Я.Н.,  Полумогина Е.Д.,  Шелыхаева М.Н., Шаминова М.И. Состав и строение отложений ПРЕОБРАЖЕНСКОГО нефтегазоносного горизонта Савостьяновского нефтяного месторождения (Восточная Сибирь) //  Нефтяное хозяйство, 2011, № 3, с.18-21.
;Новое месторождение нефти открыли в Иркутской области;;;интернет;;заметка;;;;;Новое месторождение нефти открыли в Иркутской области Издательство, год?
 ЗОЛОТОВ А.Н.,  ТАЛЬВИРСКИЙ Д.Б.,  ГУРОВ В.Н.;О кондициях структур при их подготовке к глубокому бурению сейсморазведкой в Лено-Тунгусской нефтегазоносной провинции;1981;;;Геология нефти и газа;статья;Восточная Сибирь;;;сейсморазведка; ЗОЛОТОВ А.Н.,  ТАЛЬВИРСКИЙ Д.Б.,  ГУРОВ В.Н. О кондициях структур при их подготовке к глубокому бурению сейсморазведкой в Лено-Тунгусской нефтегазоносной провинции  // Геология нефти и газа, 1981, № 5
 Изотов В.Г.,  Ситдикова Л.М.,Бружес Л.Н.;ЛИТОЛОГО-ТЕХНОЛОГИЧЕСКОЕ КАРТИРОВАНИЕ ЗАЛЕЖЕЙ УГЛЕВОДОРОДОВ КАК ОСНОВА ОПТИМИЗАЦИИ ПРОЦЕССА ИХ РАЗРАБОТКИ;;;Казанский (Приволжский) федеральный университет, КогалымНИПИнефть, Когалым;;статья;;;;литология; Изотов В.Г.,  Ситдикова Л.М.,Бружес Л.Н.ЛИТОЛОГО-ТЕХНОЛОГИЧЕСКОЕ КАРТИРОВАНИЕ ЗАЛЕЖЕЙ УГЛЕВОДОРОДОВ КАК ОСНОВА ОПТИМИЗАЦИИ ПРОЦЕССА ИХ РАЗРАБОТКИ Издательство, год?
;Предистория арктических исследований;;;http://www.arktika-antarktida.ru/arktikahistory3.shtml;;статья из интернета;Арктика;;;история исследований;Предистория арктических исследований Автор, издательство, год?
 КАЛИНКИНА Л.И. ;Нефтегазоносность рифогенных отложений нижне-среднемотской подсвиты Непско-Ботуобинской антеклизы;1981;;ВостСибНИИГГиМС;Геология нефти и газа;статья;Восточная Сибирь, НБА;;;литология, петрография, нефтегазоносность; КАЛИНКИНА Л.И. Нефтегазоносность рифогенных отложений нижне-среднемотской подсвиты Непско-Ботуобинской антеклизы // Геология нефти и газа, 1981, № 4
Воробьев Ю.Ю., Воропаев В.И., Забории О.В. , Немченко Н.Н.,  Сычев К.И.;Классификация запасов месторождений и прогнозных ресурсов твердых полезных ископаемых;1997;;М.. 1997, 16 с. ;;статья;;;;классификация запасов;Воробьев Ю.Ю., Воропаев В.И., Забории О.В. , Немченко Н.Н.,  Сычев К.И. Классификация запасов месторождений и прогнозных ресурсов твердых полезных ископаемых //  М.: 1997, 16 с. 
Константинова Л.Н.;ПЕРСПЕКТИВЫ НЕФТЕГАЗОНОСНОСТИ ТЕРРИГЕННЫХ ОТЛОЖЕНИЙ ВЕНДА ЮГО-ЗАПАДНОЙ ЧАСТИ СИБИРСКОЙ ПЛАТФОРМЫ ;;;;Геология нефти и газа;статья;Восточная Сибирь;венд;;нефтегазоносность, прогноз;Константинова Л.Н. ПЕРСПЕКТИВЫ НЕФТЕГАЗОНОСНОСТИ ТЕРРИГЕННЫХ ОТЛОЖЕНИЙ ВЕНДА ЮГО-ЗАПАДНОЙ ЧАСТИ СИБИРСКОЙ ПЛАТФОРМЫ //  Геология нефти и газа, 2010, № 4, с.24-30
Коржубаев А.;Быть ли газовой сверхдержаве?;2008;;;;статья;;;;;Коржубаев А. Быть ли газовой сверхдержаве? // Издательство, год?
Лебедев М.В., Моисеев С.А.;СТРАТИГРАФИЯ ТЕРРИГЕННЫХ ОТЛОЖЕНИЙ ВЕНДА СЕВЕРО-ВОСТОКА НЕПСКО-БОТУОБИНСКОЙ АНТЕКЛИЗЫ;;;"ООО ""ТННЦ"", ИНГГ СО РАН";;статья;Восточная Сибирь, НБА;венд;;стратиграфия, нефтегазоносность;Лебедев М.В., Моисеев С.А. СТРАТИГРАФИЯ ТЕРРИГЕННЫХ ОТЛОЖЕНИЙ ВЕНДА СЕВЕРО-ВОСТОКА НЕПСКО-БОТУОБИНСКОЙ АНТЕКЛИЗЫ // Издательство, год?
Туркина О.М.;Геохимия осадочного процесса;;;;;лекции;;;;геохимия;Туркина О.М.?Геохимия осадочного процесса // Автор, издательство, год?
Медведский С., Владимиров А.В.;Литмолого-петрофизическая модель строения терригенных отложений венда Аянско-Дулисьминской зоны;1989;;;Геология нефти и газа ;статья;Восточная Сибирь;венд;;литология;Медведский С., Владимиров А.В. Литмолого-петрофизическая модель строения терригенных отложений венда Аянско-Дулисьминской зоны // Геология нефти и газа, 1989, №9
Салманов Ф.К., Грамберг И.С., Клещев К.А., Грейс Дж., Шпильман В.И., Мясникова Г.П., Змановский Н.И.;НЕФТЬ И ГАЗ АРКТИКИ - ЭНЕРГЕТИКА МИРА БУДУЩЕГО;1994;;;;статья;Арктика;;;экономика;Салманов Ф.К., Грамберг И.С., Клещев К.А., Грейс Дж., Шпильман В.И., Мясникова Г.П., Змановский Н.И. НЕФТЬ И ГАЗ АРКТИКИ - ЭНЕРГЕТИКА МИРА БУДУЩЕГО // 1994 Издательство?
Конторович А.Э.,  Бурштейн Л.М., Лившиц В.Р.;Прошлое, настоящее и будущее математических методов и компьютерных технологий при оценке перспектив нефтегазоносности. ;;;;;статья;;;;мат.методы, перспективы нефтегазоносности;Конторович А.Э.,  Бурштейн Л.М., Лившиц В.Р. Прошлое, настоящее и будущее математических методов и компьютерных технологий при оценке перспектив нефтегазоносности // Издательство, год? 
 Ставицкий Б.П.,  Курчиков А.Р., Конторович А.Э.,  Плавник А.Г.;Вертикальная и латеральная Гидрохимическая зональность, Типизация подземных вод Западно-Сибирского бассейна.;;;ИГНиГ СО РАН, Зап-Сиб филиал ИГНГ СО РАН;;статья;Западная Сибирь;;;; Ставицкий Б.П.,  Курчиков А.Р., Конторович А.Э.,  Плавник А.Г. ВЕРТИКАЛЬНАЯ И ЛАТЕРАЛЬНАЯ ГИДРОХИМИЧЕСКАЯ ЗОНАЛЬНОСТЬ, ТИПИЗАЦИЯ ПОДЗЕМНЫХ ВОД ЗАПАДНО-СИБИРСКОГО БАССЕЙНА // Издательство, год?
Топешко В.А., Моисеев С.А.;Методические приёмы прогноза коллекторов в терригенных отложениях венда Непско-Ботуобинской антеклизы (Сибирская платформа);;;ИГНГ СО РАН;;статья;Восточная Сибирь;венд;;прогноз залежей УВ;Топешко В.А., Моисеев С.А. Методические приёмы прогноза коллекторов в терригенных отложениях венда Непско-Ботуобинской антеклизы (Сибирская платформа) // Издательство, год?
Ульмасвай Ф.С.;ГЕОДИНАМИЧЕСКОЕ ПОЛОЖЕНИЕ МЕСТОРОЖДЕНИЙ НЕФТИ И ГАЗА НА ЮГЕ СИБИРСКОЙ ПЛАТФОРМЫ;1997;;;Геология нефти и газа;статья;Восточная Сибирь;;;геология, нефтегазоносность;Ульмасвай Ф.С. ГЕОДИНАМИЧЕСКОЕ ПОЛОЖЕНИЕ МЕСТОРОЖДЕНИЙ НЕФТИ И ГАЗА НА ЮГЕ СИБИРСКОЙ ПЛАТФОРМЫ // Геология нефти и газа, 1997, № 9
Фомин А.М., Данькина Т.А.;Закономерности распределения пород-коллекторов в улаханском и ботуобинском продуктивных горизонтах в зависимости от обстановок осадконакопления (северо-восточная часть Непско-Ботуобинской антеклизы;;;;;статья;Восточная Сибирь;;;геология, нефтегазоносность;Фомин А.М., Данькина Т.А. Закономерности распределения пород-коллекторов в улаханском и ботуобинском продуктивных горизонтах в зависимости от обстановок осадконакопления (северо-восточная часть Непско-Ботуобинской антеклизы // Издательство, год?
